customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,status
f34a6e874087ec1f0e3dab9fdf659c5d,233896de79986082f1f479f1f85281cb,38300,ituiutaba,MG,Non Active
c132855c926907970dcf6f2bf0b33a24,a8ae36a2bb6c2bbc3b5d62ede131c9ef,18740,taquarituba,SP,Non Active
4c7241af24b5344cb01fe687643de4fe,b157c176c3fe04914fde33f2dc8b878a,60336,fortaleza,CE,Non Active
f6529ffebe6b3440d45d89604a4239ac,e5dbefdfdf3eff75c8e6cd655f128279,26272,nova iguacu,RJ,Non Active
ae76a4650235ab18764708174f1da31e,2b6082a140c439e2df870c85b0aa5e88,2983,sao paulo,SP,Non Active
8891eb5ca0e28df961b2b5b8f3c0eb23,13ac6da47fef1b17b16f511e03b57918,2632,sao paulo,SP,Non Active
faafae37ddb3e4af81c10a397bcca35f,1a7a10e9273fca58179bdd0d40843b0c,7243,guarulhos,SP,Non Active
265655cf1f2dfd4fc630004d1fe5f3cb,fc0a9229ea43fea6c9f9d79c06761a1e,13185,hortolandia,SP,Non Active
3714eb406c7704a920e504085717ea5b,56d30b9f16c42d707d89967161296a04,84200,jaguariaiva,PR,Non Active
5bfe800011656c0afb81db64519982db,0071f46a072a9ae25bbe4438b15efe9c,16011,aracatuba,SP,Non Active
6d63646d305d56dc162e0f5eb7edd697,0fc4c0fc23ef45d16a0f32fbf9ae25cb,74580,goiania,GO,Non Active
409f91c4538ee2dd4b26280baf0df01a,d8c21a391fae9a2f8f784c3c25ff5f85,74986,aparecida de goiania,GO,Non Active
b83aa8732c6dcaf653e111d52ebc91f1,42d2b957a53f0240c81dee35a2463059,74423,goiania,GO,Non Active
b08064e24083fee8fbe8797902b07ecd,035f60af6e7d7f78470e9443be08d339,28495,aperibe,RJ,Non Active
3ba47b09546c2da91ef141efce2d5888,b8c37ee810b38c416022e1c9f51e740c,32140,contagem,MG,Non Active
cfffbb322333151f8df6398a8c3340db,0dc0731aafd5659410244092b0dc7d65,5093,sao paulo,SP,Non Active
536f46cc0f2f2b1e40d056f7998f0254,340152332a04149987a705602615f0d0,87030,maringa,PR,Non Active
1aa414b77e655c44696ea1d3e61d7ec7,cdbeeb59bf23bb27eba2b6a8dd4b9e09,39404,montes claros,MG,Non Active
ffaded93e5a1fce06363cfb6905676a1,587b326ba3bf8aa4d3e50fb1f38ea79f,6722,cotia,SP,Non Active
3d14ef1b615443e8569574ccf4c70ffb,57d2e3a4c3b277bea367027f105f1c02,83209,paranagua,PR,Non Active
c5d2a092d72c266cc8edae2b5a295c38,8f74bd69c228697504acd82dc22ed019,48950,uaua,BA,Non Active
c6f9b478f1fd8409f4220e7c2a0b35f0,42b73a45a3b9a668a96d93f02bc62144,2365,sao paulo,SP,Non Active
41b200d1ce8675f154c91c2da887bcee,9b05b38d7d9ef19a89815c217b30fd37,2114,sao paulo,SP,Non Active
8118922685d2e2c0205f060be4f2579c,d0e87d00021530383c16452a39a393ba,45810,porto seguro,BA,Non Active
6e067aaac313f893bd40273d8d75027f,f9ac86b4993a6e2a48758cb47d808712,89150,presidente getulio,SC,Non Active
b8be9aabc886bf52d9361784b379ea49,7649b15c0f9e10a06fd969de050553bf,28893,rio das ostras,RJ,Non Active
5e47f0b16c49d0a6b4fe98c879bd5f3a,08995ff3d56d1423655c3b21cebe06bd,46100,brumado,BA,Non Active
8a83cd2272d6fb105959b4385ff872ec,6bb68e803ab5d836c7bdb0c3d3281953,21240,rio de janeiro,RJ,Non Active
0424e2f81bdfb77d7c11c3f447c7b241,bb6ffa5f9b68665f0cb238ea298092a3,12081,taubate,SP,Non Active
3f1ea323922032ac23b7ef91f69a95a3,18aef158fe07c1e9ca8e1a5e3b7b723a,25585,sao joao de meriti,RJ,Non Active
e6b1fd31d830155d9a333978e90dd976,61657cd378eabeaa8ec89a448432357d,20775,rio de janeiro,RJ,Non Active
069a724b11ade79937f258ebc58c74ef,611b8fe01324647fa20c6f629dfa5b6e,8451,sao paulo,SP,Non Active
5c296f7939550b876425980a5d7da5ce,51e96af5f0314b37ecdc524b4c44c06a,58011,joao pessoa,PB,Non Active
8c3fb712bb2e85992047b1f11ea332e1,0fb4497f568fe7c3859c3c43d6be7277,30690,belo horizonte,MG,Non Active
b0bde8961b359e3e4840c9327862f43e,40b1c1468c27787235deb9bf979fd51d,2804,sao paulo,SP,Non Active
5c78528de7bc16285f19af96fce88f02,e6925d3e39cebd0f699008b248e58361,13208,jundiai,SP,Non Active
506ad507afe195802c80197c61b37ebe,a6287dcde3fcf9870d4254398a407d27,22753,rio de janeiro,RJ,Non Active
c8223f76047e09bea798462f2f46ffa9,b4ee22e08cdaeab0b8e6bf2e67d7c19b,45690,una,BA,Non Active
d83753f7658bcc23859c5f1988cdf50f,0c17966568c69f8f827f574911f8b729,2832,sao paulo,SP,Non Active
dee7ac1315330a02d049ad3b108c7ad4,16d778764561c820ab02b6ea12796b14,38410,uberlandia,MG,Non Active
939c6ecf27d8c32e7956b4a2a468326d,fe362d146a84f9000664211ac929b9d5,9240,santo andre,SP,Non Active
1d07a80a15700b40cb15ff5870ee8b48,0e9bafe047d5c6fe3fd8ef6bcdce9a1a,62030,sobral,CE,Non Active
ad2eb5d02c0808bcd8743117f6383cf6,ef0103e9602d12594d19c2b666219bc1,30810,belo horizonte,MG,Non Active
eb55392e91ca4fb066e8c3d099400dd1,04c5ad73047074972e9a1c744c3b4bf8,79333,corumba,MS,Non Active
30159428cd8098929d2d39e5e357fcc5,a696ba5db33cf4835a04dd5965a86781,7787,cajamar,SP,Non Active
dfac69a327ba24dac0d50fb8b12ef48f,c9c2e6e2ec65683e71205e16a5f3aa90,22753,rio de janeiro,RJ,Non Active
b8cbb2fa6090f51abb6076e2b26ca3ae,c7797b25e6175614c2c8ad82742a2ddd,7263,guarulhos,SP,Non Active
bd3cc0839577a877bb6bf7a10dbd08dc,799ed9d9a1712679681fb6bb70a8b638,12080,taubate,SP,Non Active
61f53bd3b55a43b690dde0258d8a87ae,d0bd25a13b24e8d59a11adda68bd3ecd,26050,nova iguacu,RJ,Non Active
404e67122d00aaf4e82413c0355aca9d,eef70e28876f73d3076a39e54b764c8a,69098,manaus,AM,Non Active
ff4545a3148f5a22667f301e00cb5ad7,70a2aece5345a514bf960b01975aaa60,91330,porto alegre,RS,Non Active
4a31da2ba757502ad7fcc9dc6768cfa5,b8b3c435a58aebd788a477bed8342910,95585,arroio do sal,RS,Non Active
33ac5a0d983f8f8905499a9f926086f5,8028fbabf6123c13297c82f4393a4724,1452,sao paulo,SP,Non Active
5e6f9be50727314362343a9db183bae0,d1ec84ece21390313fe8dd6457dd6ecb,17017,bauru,SP,Non Active
e5774bc03685e61b1a33c24e43e28a3c,9049685052da8ea435727689c67b81c9,5590,sao paulo,SP,Non Active
75d14995c7fd07f2b9b0410b42f7a155,4f49e4d666dcede7d03edb6040ebcd2a,13560,sao carlos,SP,Non Active
82d98198f7fb1687858e03a5322e1621,b351ac91ab0ef29bae6da7fbc05959c0,80420,curitiba,PR,Non Active
81d317725cbfabb49d0858e3c70db52b,df2162a9aaf73bf42e812408330969a0,13189,hortolandia,SP,Non Active
4a12498b256c30e2e59cf2ae246222b7,f988e05b9c8653f57178a723dc42cfe9,6045,osasco,SP,Non Active
fc6970358133b4ddd73d4fe57cfe6737,f1d32fc4daad97978a28051b160ca25e,71015,brasilia,DF,Non Active
5a9b69b8d07b5b9b2b5c97df75837da1,ed20342b0e962655501a9a62f29e9a3c,6385,carapicuiba,SP,Non Active
f0e4a95200a47e2ae1aa8e8c1af0b24c,7c9b935f3b97a9c5ef678418932ae8e8,20080,rio de janeiro,RJ,Non Active
0dac48fbbab7c46ad058c8be85977e84,f5f97fb8cf2cf88369faede2ef900aca,13150,cosmopolis,SP,Non Active
3885c59916b2b261205c303fe0a10abf,f72d1ee92d55688d07ca88506300715e,22790,rio de janeiro,RJ,Non Active
537a03fa6d77f18015e844965b36edef,b98e8baa11ce7bd990d03a54652d2723,80610,curitiba,PR,Non Active
0ab6ad4341f96228118680e0b3ef1848,ca042e1c4a76949e979abfb74159e9ab,31930,belo horizonte,MG,Non Active
